id,english,,,,,,
COPYRIGHT,To make use of this service you must be more than 18 years old or have received permission from your parents or a person who is authorized to pay your bill. VIPgames.me works in accordance with the international best practices for mobile payments and digital goods. Copyright Â© 2015.,,,,,,
LOAD_MORE,Load More,,,,,,
SIMILAR_GAMES,Similar Games,,,,,,
BACK,Back,,,,,,
PLAY_NOW,Play Now!,,,,,,
DESCRIPTION,Description,,,,,,
EDITORS,Editor's,,,,,,
CHOICE,Choice,,,,,,
ACCESS_DENIED,Access Denied,,,,,,
ACCESS_DENIED_DESCRIPTION,You are not authorized to access this page.,,,,,,
CATEGORY,Category,,,,,,
ACTION,Action,,,,,,
ARCADE,Arcade,,,,,,
RACING,Racing,,,,,,
CARD,Card,,,,,,
BRAIN,Brain,,,,,,
STRATEGY,Strategy,,,,,,
SETTINGS,Settings,,,,,,
FAQ,FAQ,,,,,,
LANGUAGE_OPTIONS,Language Options,,,,,,
GENERAL_TERMS_AND_CONDITIONS,Terms of Service,,,,,,
PRIVACY_POLICY,Privacy Policy,,,,,,
FREQUENTLY_ASKED_QUESTIONS,Frequently Asked Questions,,,,,,
CONTACT_US,Contact us,,,,,,
FULL_NAME,Full Name,,,,,,
EMAIL_ADDRESS,Email Address,,,,,,
MOBILE_NUMBER,Mobile Number,,,,,,
ENTER_YOUR_ENQUIRY,Enter your enquiry,,,,,,
SUBMIT,Submit,,,,,,
UNSUBSCRIBE,Unsubscribe,,,,,,
YES,Yes,,,,,,
NO,No,,,,,,
UNSUBSCRIBE_CONFIRM,Are you sure you want to unsubscribe from VIPgames?,,,,,,
UNSUBSCRIBE_SUCCESS,You successfully unsubscribed from the service,,,,,,
INVALID_ENTRY,Invalid entry,,,,,,
LANGUAGES,Languages,,,,,,
INVALID_NUMBER,*Number you have entered is not subscribed to the service.,,,,,,
CLICK_ON_LINK,Please click on the link received by SMS to access VIPGames,,,,,,
ALREADY_REGISTERED,Already Registered?,,,,,,
ENTER_MOBILE_NUMBER,Enter your mobile number to login,,,,,,
LOGIN,Login,,,,,,
SELECT_OPERATOR,Select Operator,,,,,,
SUBMITTED_SUCCESSFULLY,Thank you! Your enquiry has been successfully submitted to us.,,,,,,